,#,"Country,Other",TotalCases,TotalDeaths,DateTime
96,97,Estonia,"160,832","1,383 ",10/06/21 20:30:05
97,98,Afghanistan,"155,380","7,220 ",10/06/21 20:30:05
98,99,Mozambique,"150,826","1,919 ",10/06/21 20:30:05
99,100,Finland,"144,665","1,062 ",10/06/21 20:30:05
100,101,Montenegro,"133,767","1,965 ",10/06/21 20:30:05
101,102,Zimbabwe,"131,205","4,627 ",10/06/21 20:30:05
102,103,Namibia,"127,956","3,520 ",10/06/21 20:30:05
103,104,Ghana,"127,878","1,157 ",10/06/21 20:30:05
104,105,Uganda,"124,190","3,165 ",10/06/21 20:30:05
105,106,Cyprus,"119,039",557,10/06/21 20:30:05
106,107,Australia,"117,826","1,379 ",10/06/21 20:30:05
107,108,Cambodia,"113,924","2,431 ",10/06/21 20:30:05
108,109,Singapore,"109,804",130,10/06/21 20:30:05
109,110,El Salvador,"104,348","3,327 ",10/06/21 20:30:05
110,111,Rwanda,"98,077","1,290 ",10/06/21 20:30:05
111,112,Cameroon,"92,303","1,459 ",10/06/21 20:30:05
112,113,Maldives,"85,198",232,10/06/21 20:30:05
113,114,Jamaica,"85,163","1,936 ",10/06/21 20:30:05
114,115,Luxembourg,"78,620",835,10/06/21 20:30:05
115,116,Senegal,"73,816","1,862 ",10/06/21 20:30:05
116,117,Malawi,"61,629","2,286 ",10/06/21 20:30:05
117,118,Ivory Coast,"60,481",652,10/06/21 20:30:05
118,119,Angola,"59,895","1,587 ",10/06/21 20:30:05
119,120,DRC,"57,034","1,086 ",10/06/21 20:30:05
120,121,Réunion,"53,963",369,10/06/21 20:30:05
121,122,Guadeloupe,"53,585",708,10/06/21 20:30:05
122,123,Trinidad and Tobago,"51,605","1,516 ",10/06/21 20:30:05
123,124,Fiji,"51,328",647,10/06/21 20:30:05
124,125,Eswatini,"46,152","1,226 ",10/06/21 20:30:05
125,126,Madagascar,"42,898",958,10/06/21 20:30:05
126,127,Suriname,"42,716",919,10/06/21 20:30:05
127,128,French Guiana,"41,713",280,10/06/21 20:30:05
128,129,Martinique,"41,129",608,10/06/21 20:30:05
129,130,French Polynesia,"40,178",624,10/06/21 20:30:05
130,131,Sudan,"38,632","2,909 ",10/06/21 20:30:05
131,132,Cabo Verde,"37,718",345,10/06/21 20:30:05
132,133,Malta,"37,264",459,10/06/21 20:30:05
133,134,Mauritania,"36,229",782,10/06/21 20:30:05
134,135,Syria,"35,609","2,297 ",10/06/21 20:30:05
135,136,Guyana,"32,701",807,10/06/21 20:30:05
136,137,Gabon,"31,058",194,10/06/21 20:30:05
137,138,Guinea,"30,452",383,10/06/21 20:30:05
138,139,Laos,"25,987",22,10/06/21 20:30:05
139,140,Tanzania,"25,957",723,10/06/21 20:30:05
140,141,Togo,"25,623",234,10/06/21 20:30:05
141,142,Benin,"23,890",159,10/06/21 20:30:05
142,143,Haiti,"22,273",629,10/06/21 20:30:05
143,144,Belize,"21,685",424,10/06/21 20:30:05
144,145,Papua New Guinea,"21,640",237,10/06/21 20:30:05
145,146,Seychelles,"21,538",116,10/06/21 20:30:05
146,147,Lesotho,"21,363",650,10/06/21 20:30:05
147,148,Bahamas,"21,312",557,10/06/21 20:30:05
148,149,Somalia,"20,577","1,137 ",10/06/21 20:30:05
149,150,Mayotte,"20,337",180,10/06/21 20:30:05
150,151,Timor-Leste,"19,613",119,10/06/21 20:30:05
151,152,Burundi,"18,600",38,10/06/21 20:30:05
152,153,Tajikistan,"17,084",124,10/06/21 20:30:05
153,154,Curaçao,"16,650",165,10/06/21 20:30:05
154,155,Taiwan,"16,267",844,10/06/21 20:30:05
155,156,Mauritius,"16,083",100,10/06/21 20:30:05
156,157,Aruba,"15,560",168,10/06/21 20:30:05
157,158,Mali,"15,337",551,10/06/21 20:30:05
158,159,Andorra,"15,271",130,10/06/21 20:30:05
159,160,Nicaragua,"15,134",205,10/06/21 20:30:05
160,161,Congo,"14,561",199,10/06/21 20:30:05
161,162,Burkina Faso,"14,356",191,10/06/21 20:30:05
162,163,Djibouti,"13,057",174,10/06/21 20:30:05
163,164,Equatorial Guinea,"12,532",150,10/06/21 20:30:05
164,165,Hong Kong,"12,244",213,10/06/21 20:30:05
165,166,South Sudan,"12,080",130,10/06/21 20:30:05
166,167,Iceland,"12,035",33,10/06/21 20:30:05
167,168,Channel Islands,"11,737",97,10/06/21 20:30:05
168,169,Saint Lucia,"11,709",209,10/06/21 20:30:05
169,170,CAR,"11,385",100,10/06/21 20:30:05
170,171,Gambia,"9,935",338,10/06/21 20:30:05
171,172,Barbados,"9,523",84,10/06/21 20:30:05
172,173,Yemen,"9,271","1,763 ",10/06/21 20:30:05
173,174,New Caledonia,"8,506",165,10/06/21 20:30:05
174,175,Brunei ,"8,150",61,10/06/21 20:30:05
175,176,Isle of Man,"7,770",52,10/06/21 20:30:05
176,177,Eritrea,"6,725",42,10/06/21 20:30:05
177,178,Sierra Leone,"6,396",121,10/06/21 20:30:05
178,179,Guinea-Bissau,"6,112",135,10/06/21 20:30:05
179,180,Niger,"6,057",204,10/06/21 20:30:05
180,181,Liberia,"5,799",286,10/06/21 20:30:05
181,182,Gibraltar,"5,597",97,10/06/21 20:30:05
182,183,Grenada,"5,484",165,10/06/21 20:30:05
183,184,San Marino,"5,444",91,10/06/21 20:30:05
184,185,Bermuda,"5,419",82,10/06/21 20:30:05
185,186,Chad,"5,049",174,10/06/21 20:30:05
186,187,New Zealand,"4,450",27,10/06/21 20:30:05
187,188,Sint Maarten,"4,355",68,10/06/21 20:30:05
188,189,Comoros,"4,156",147,10/06/21 20:30:05
189,190,St. Vincent Grenadines,"3,838",33,10/06/21 20:30:05
190,191,Dominica,"3,786",22,10/06/21 20:30:05
191,192,Saint Martin,"3,748",55,10/06/21 20:30:05
192,193,Sao Tome and Principe,"3,564",55,10/06/21 20:30:05
193,194,Antigua and Barbuda,"3,518",85,10/06/21 20:30:05
194,195,Liechtenstein,"3,453",60,10/06/21 20:30:05
195,196,Monaco,"3,324",33,10/06/21 20:30:05
196,197,Turks and Caicos,"2,875",23,10/06/21 20:30:05
197,198,British Virgin Islands,"2,642",37,10/06/21 20:30:05
198,199,Bhutan,"2,613",3,10/06/21 20:30:05
199,200,Caribbean Netherlands,"2,168",19,10/06/21 20:30:05
200,201,Saint Kitts and Nevis,"2,073",16,10/06/21 20:30:05
201,202,St. Barth,"1,578",4,10/06/21 20:30:05
202,203,Faeroe Islands,"1,237",2,10/06/21 20:30:05
203,204,Cayman Islands,920,2,10/06/21 20:30:05
204,205,Diamond Princess,712,13,10/06/21 20:30:05
205,206,Greenland,600, ,10/06/21 20:30:05
206,207,Anguilla,453,1,10/06/21 20:30:05
207,208,Wallis and Futuna,445,7,10/06/21 20:30:05
208,209,Macao,75, ,10/06/21 20:30:05
209,210,Falkland Islands,67, ,10/06/21 20:30:05
210,211,Montserrat,40,1,10/06/21 20:30:05
211,212,Saint Pierre Miquelon,32, ,10/06/21 20:30:05
212,213,Vatican City,27, ,10/06/21 20:30:05
213,214,Solomon Islands,20, ,10/06/21 20:30:05
214,215,Western Sahara,10,1,10/06/21 20:30:05
215,216,MS Zaandam,9,2,10/06/21 20:30:05
216,217,Palau,5, ,10/06/21 20:30:05
217,218,Vanuatu,4,1,10/06/21 20:30:05
218,219,Marshall Islands,4, ,10/06/21 20:30:05
219,220,Samoa,3, ,10/06/21 20:30:05
220,221,Saint Helena,2, ,10/06/21 20:30:05
221,222,Micronesia,1, ,10/06/21 20:30:05
222,223,China,"96,310","4,636 ",10/06/21 20:30:05
